lakeid,sampledate,depth,chlor,phaeo
CR,5/8/84,3,3.7,0.1
CR,5/8/84,5,4.2,-0.4
CR,5/8/84,8,4.2,-0.7
CR,5/8/84,8,4.1,-1
CR,5/8/84,10,5.5,-0.3
CR,5/8/84,12,5.2,-0.1
CR,5/8/84,15,6,-1.1
CR,5/8/84,18,7.2,0
CR,5/23/84,0,2.2,-0.2
CR,5/23/84,3,2.2,-0.2
CR,5/23/84,5,2.8,0
CR,5/23/84,8,4.8,-0.5
CR,5/23/84,8,4.6,0
CR,5/23/84,10,3.8,0.2
CR,5/23/84,12,4.6,-0.2
CR,5/23/84,15,8.9,0.6
CR,5/23/84,19,8.9,0.6
CR,6/7/84,0,3.1,-0.4
CR,6/7/84,3,0.7,0
CR,6/7/84,5,1.3,-0.2
CR,6/7/84,8,1.6,-0.1
CR,6/7/84,10,2.2,-0.2
CR,6/7/84,12,5.2,0.4
CR,6/7/84,15,9.3,-0.2
CR,6/7/84,19,8.1,0.8
CR,6/7/84,19,8.1,1.5
CR,6/18/84,0,0.7,1
CR,6/18/84,3,2.2,-0.2
CR,6/18/84,5,0.8,0.4
CR,6/18/84,8,1.2,-0.1
CR,6/18/84,10,0.9,0.4
CR,6/18/84,12,0.7,0.5
CR,6/18/84,15,3.8,0.3
CR,6/18/84,19,8.2,1.8
CR,6/18/84,19,10.4,0.8
CR,7/4/84,0,0.9,0.2
CR,7/4/84,3,1.2,-0.2
CR,7/4/84,5,1.2,-0.2
CR,7/4/84,8,1.2,-0.4
CR,7/4/84,10,1.2,-0.2
CR,7/4/84,12,1.4,0.1
CR,7/4/84,15,3.5,1.2
CR,7/4/84,18,14.4,0
CR,7/4/84,19,15.5,0.2
CR,7/18/84,0,2,-0.4
CR,7/18/84,3,1.3,0
CR,7/18/84,5,2,-0.4
CR,7/18/84,8,1.7,0.1
CR,7/18/84,10,1.4,-0.1
CR,7/18/84,12,2.2,0.7
CR,7/18/84,15,7.3,0.7
CR,7/18/84,15,7.1,0.5
CR,7/18/84,17,7.6,3.9
CR,7/18/84,18,10.8,-0.9
CR,7/18/84,19,4.3,4.6
CR,7/30/84,0,0,1.9
CR,7/30/84,3,2.5,-0.6
CR,7/30/84,5,2.2,-0.5
CR,7/30/84,8,2.2,-0.6
CR,7/30/84,10,1.4,-0.2
CR,7/30/84,12,1.8,-0.1
CR,7/30/84,15,3.1,1.4
CR,7/30/84,15,2.9,1
CR,7/30/84,17,13.8,1.1
CR,7/30/84,18,11.2,1.8
CR,7/30/84,19,9.3,3.8
CR,8/13/84,0,2.9,-0.6
CR,8/13/84,3,1.8,0
CR,8/13/84,5,2.2,-0.2
CR,8/13/84,8,2.4,-0.1
CR,8/13/84,10,0.1,2
CR,8/13/84,12,2.9,-0.2
CR,8/13/84,15,9.4,0
CR,8/13/84,17,10.7,7
CR,8/13/84,18,15.3,-1.2
CR,8/13/84,19,5.6,6
CR,8/13/84,19,8.4,3.8
CR,9/5/84,0,2.2,0.2
CR,9/5/84,3,2.8,0
CR,9/5/84,5,2.9,0.1
CR,9/5/84,8,2.4,0.6
CR,9/5/84,8,2.6,0.2
CR,9/5/84,10,2,0.4
CR,9/5/84,12,4.6,1.7
CR,9/5/84,14,19.6,4.8
CR,9/5/84,15,8.9,3.9
CR,9/5/84,17,5.1,4.2
CR,9/5/84,18,3.1,3.5
CR,9/5/84,19,1.8,4.1
CR,9/27/84,0,2.2,-0.1
CR,9/27/84,3,2.4,0
CR,9/27/84,5,2.6,-0.6
CR,9/27/84,8,2.2,0.2
CR,9/27/84,10,3,-0.5
CR,9/27/84,12,2,0.1
CR,9/27/84,13,8.9,0.8
CR,9/27/84,13,9.7,0.2
CR,9/27/84,15,6,1
CR,9/27/84,18,3.1,1.7
CR,9/27/84,19,4.8,1.1
CR,10/16/84,0,3,-0.5
CR,10/16/84,3,2,0.8
CR,10/16/84,5,3.5,-0.5
CR,10/16/84,8,2.6,-0.2
CR,10/16/84,10,3.4,0.4
CR,10/16/84,12,2.8,0.4
CR,10/16/84,12,3.4,0.1
CR,10/16/84,13,2.5,0.9
CR,10/16/84,15,3.1,1.3
CR,10/16/84,17,0.8,2.7
CR,10/16/84,19,1.4,1.7
CR,11/6/84,0,2.5,-0.2
CR,11/6/84,3,1.8,0.3
CR,11/6/84,5,2.4,0
CR,11/6/84,8,2.6,-0.4
CR,11/6/84,10,1.7,0.6
CR,11/6/84,10,2.5,0.2
