lakeid,sampledate,depth,o2,deck,light,frlight
CR,12/1/81,6,12.1,,15.3,
CR,12/1/81,7,12.1,,12.8,
CR,12/1/81,8,12.2,,10.6,
CR,12/1/81,9,12.4,,8.8,
CR,12/1/81,10,12.6,,7.4,
CR,12/1/81,11,12.9,,6.2,
CR,12/1/81,12,12.9,,5.2,
CR,12/1/81,13,13,,4.3,
CR,12/1/81,14,13.1,,3.1,
CR,12/1/81,15,13.3,,3,
CR,12/1/81,16,13.4,,2.5,
CR,12/1/81,17,13.5,,2.1,
CR,12/1/81,18,13.6,,1.8,
CR,12/1/81,19,13.6,,1.5,
CR,1/22/82,0,13.9,,,
CR,1/22/82,1,13.2,,,
CR,1/22/82,2,12.2,,,
CR,1/22/82,3,12.5,,,
CR,1/22/82,4,12.9,,,
CR,1/22/82,5,13.3,,,
CR,1/22/82,6,13.4,,,
CR,1/22/82,7,13.5,,,
CR,1/22/82,8,13.3,,,
CR,1/22/82,9,13.3,,,
CR,1/22/82,10,13.2,,,
CR,1/22/82,11,13.2,,,
CR,1/22/82,12,13,,,
CR,1/22/82,13,12.9,,,
CR,1/22/82,14,12.6,,,
CR,1/22/82,15,12.6,,,
CR,1/22/82,16,11.9,,,
CR,1/22/82,17,9.8,,,
CR,1/22/82,18,9.3,,,
CR,1/22/82,19,9.1,,,
CR,3/1/82,0,,,,
CR,3/1/82,1,11.3,,,
CR,3/1/82,2,11.2,,,
CR,3/1/82,3,11,,,
CR,3/1/82,4,11.1,,,
CR,3/1/82,5,11.2,,,
CR,3/1/82,6,10.9,,,
CR,3/1/82,7,10.9,,,
CR,3/1/82,8,10.6,,,
CR,3/1/82,9,10.5,,,
CR,3/1/82,10,10.4,,,
CR,3/1/82,11,10.3,,,
CR,3/1/82,12,9.8,,,
CR,3/1/82,13,8.8,,,
CR,3/1/82,14,6.9,,,
CR,3/1/82,15,6.9,,,
CR,3/1/82,16,6.6,,,
CR,3/1/82,17,6.2,,,
CR,3/1/82,18,5.5,,,
CR,3/1/82,19,3.6,,,
CR,4/8/82,0,13.5,,,
CR,4/8/82,1,12.2,,,
CR,4/8/82,2,11.7,,,
CR,4/8/82,3,11.6,,,
CR,4/8/82,4,11.5,,,
CR,4/8/82,5,11.4,,,
CR,4/8/82,6,11.4,,,
CR,4/8/82,7,11.4,,,
CR,4/8/82,8,10.9,,,
CR,4/8/82,9,10.6,,,
CR,4/8/82,10,9.6,,,
CR,4/8/82,11,8.2,,,
CR,4/8/82,12,6.8,,,
CR,4/8/82,13,6.2,,,
CR,4/8/82,14,6,,,
CR,4/8/82,15,5.6,,,
CR,4/8/82,16,4.6,,,
CR,4/8/82,17,4,,,
CR,4/8/82,18,2.6,,,
CR,4/8/82,19,2.4,,,
CR,5/10/82,0,10.3,,,
CR,5/10/82,1,,1650,1000,0.606
CR,5/10/82,2,,1800,800,0.444
CR,5/10/82,3,,1650,650,0.394
CR,5/10/82,4,,1700,550,0.324
CR,5/10/82,5,10.3,1700,380,0.224
CR,5/10/82,6,,1900,340,0.179
CR,5/10/82,7,,1900,290,0.153
CR,5/10/82,8,,1900,230,0.121
CR,5/10/82,9,,1300,150,0.115
CR,5/10/82,10,10.8,1500,145,0.097
CR,5/10/82,11,,1650,120,0.073
CR,5/10/82,12,,1800,105,0.058
CR,5/10/82,13,,1850,87,0.047
CR,5/10/82,14,,1800,73,0.041
CR,5/10/82,15,10.5,1850,55,0.03
CR,5/10/82,16,,1950,47,0.024
CR,5/10/82,17,,1900,36,0.019
CR,5/10/82,18,,1855,28,0.015
CR,5/10/82,19,10.1,1950,21,0.011
CR,5/10/82,20,,1800,13.5,0.008
CR,5/27/82,0,7.4,580,440,0.759
CR,5/27/82,0.5,,,,
CR,5/27/82,1,7.3,640,355,0.555
CR,5/27/82,2,7.3,575,221,0.384
CR,5/27/82,3,7.7,612,200,0.327
CR,5/27/82,4,7.9,642,185,0.288
CR,5/27/82,5,9.1,612,133,0.217
CR,5/27/82,6,9.5,540,92,0.17
CR,5/27/82,7,9.6,590,89.2,0.151
CR,5/27/82,8,9.8,650,73,0.112
CR,5/27/82,9,10.1,685,60.5,0.088
CR,5/27/82,10,10.3,735,54,0.073
CR,5/27/82,11,10.5,785,35.2,0.045
CR,5/27/82,12,10.5,830,27,0.033
CR,5/27/82,13,10.6,1030,23.3,0.023
CR,5/27/82,14,10.4,1030,17.9,0.017
CR,5/27/82,15,10.2,1030,12.8,0.012
CR,5/27/82,16,9.5,1100,10.3,0.009
CR,5/27/82,17,9.2,1120,6.6,0.006
CR,5/27/82,18,9.1,1050,4.55,0.004
CR,5/27/82,19,8.5,1020,3.51,0.003
CR,6/7/82,0,7.6,950,850,0.895
CR,6/7/82,0.5,,,,
CR,6/7/82,1,7.5,2300,1400,0.609
CR,6/7/82,2,7.4,2350,1200,0.511
CR,6/7/82,3,7.4,2450,1000,0.408
CR,6/7/82,4,7.3,2450,900,0.367
CR,6/7/82,5,7.3,900,270,0.3
CR,6/7/82,6,8.1,800,225,0.281
CR,6/7/82,7,9.3,850,200,0.235
CR,6/7/82,8,9.6,790,150,0.19
CR,6/7/82,9,9.8,770,130,0.169
CR,6/7/82,10,10.1,870,120,0.138
CR,6/7/82,11,10.3,830,100,0.12
CR,6/7/82,12,10.4,820,80,0.098
CR,6/7/82,13,10.6,810,66,0.081
CR,6/7/82,14,10.7,820,59,0.072
CR,6/7/82,15,10.7,780,47,0.06
CR,6/7/82,16,10.2,710,33,0.046
CR,6/7/82,17,10.1,740,24,0.032
CR,6/7/82,18,10,780,20,0.026
CR,6/7/82,19,9.5,840,16,0.019
CR,6/24/82,0,,585,820,
CR,6/24/82,0.5,,,,
CR,6/24/82,1,,560,370,0.661
CR,6/24/82,2,,540,295,0.546
CR,6/24/82,3,,585,280,0.479
CR,6/24/82,4,,610,244,0.4
CR,6/24/82,5,,630,233,0.37
CR,6/24/82,6,,650,203,0.312
CR,6/24/82,7,,630,178,0.283
CR,6/24/82,8,,640,150,0.234
CR,6/24/82,9,,810,155,0.191
CR,6/24/82,10,,520,84.5,0.163
CR,6/24/82,11,,438,63,0.144
CR,6/24/82,12,,400,56,0.14
CR,6/24/82,13,,285,33.5,0.118
CR,6/24/82,14,,330,31,0.094
CR,6/24/82,15,,298,22.3,0.075
CR,6/24/82,16,,370,20.5,0.055
CR,6/24/82,17,,413,16.6,0.04
CR,6/24/82,18,,395,12.4,0.031
CR,6/24/82,19,,500,11,0.022
CR,7/6/82,0,8.5,470,300,0.638
CR,7/6/82,0.5,,,,
CR,7/6/82,1,8.5,510,300,0.588
CR,7/6/82,2,8.6,550,,
CR,7/6/82,3,8.6,560,,
CR,7/6/82,4,9.2,1800,265,0.147
CR,7/6/82,5,9.3,900,190,0.211
CR,7/6/82,6,9.4,1250,310,0.248
CR,7/6/82,7,11.7,1250,180,0.144
CR,7/6/82,8,12.2,750,180,0.24
CR,7/6/82,9,11.9,1200,210,0.175
CR,7/6/82,10,12,1300,280,0.215
CR,7/6/82,11,12,1600,180,0.113
CR,7/6/82,12,12.1,1750,195,0.111
CR,7/6/82,13,12.1,1850,142,0.077
CR,7/6/82,14,12.1,1850,130,0.07
CR,7/6/82,15,12.1,1850,160,0.086
CR,7/6/82,16,12.1,1650,75,0.045
CR,7/6/82,17,11.6,1700,61,0.036
CR,7/6/82,18,11.5,1600,42,0.026
CR,7/6/82,19,11.5,1460,32,0.022
CR,7/6/82,19.5,,1550,31,0.02
CR,7/19/82,0,9.9,,,
CR,7/19/82,0.5,,,,
CR,7/19/82,1,9.9,,,
CR,7/19/82,2,9.9,,,
CR,7/19/82,3,10,,,
CR,7/19/82,4,10.1,,,
CR,7/19/82,5,10.3,,,
CR,7/19/82,6,10.8,,,
CR,7/19/82,7,12,,,
CR,7/19/82,8,13.8,,,
CR,7/19/82,9,14,,,
CR,7/19/82,10,14.2,,,
CR,7/19/82,11,14,,,
CR,7/19/82,12,14,,,
CR,7/19/82,13,14,,,
CR,7/19/82,14,13.2,,,
CR,7/19/82,15,12.6,,,
CR,7/19/82,16,12.6,,,
CR,7/19/82,17,11.9,,,
CR,7/19/82,18,11.8,,,
CR,7/19/82,19,11.7,,,
CR,8/3/82,0,8.2,,1500,
CR,8/3/82,0.5,,,,
CR,8/3/82,1,8.4,,1250,
CR,8/3/82,2,8.3,,950,
CR,8/3/82,3,8.3,,680,
CR,8/3/82,4,8.3,,570,
CR,8/3/82,5,8.3,,480,
CR,8/3/82,6,8.4,,320,
CR,8/3/82,7,9.3,,300,
CR,8/3/82,8,10.8,,250,
CR,8/3/82,9,11.2,,195,
CR,8/3/82,10,11.4,,160,
CR,8/3/82,11,11.3,,125,
CR,8/3/82,12,11.4,,100,
CR,8/3/82,13,11.2,,77,
CR,8/3/82,14,11,,61,
CR,8/3/82,15,10.1,,47,
CR,8/3/82,16,9.6,,34,
CR,8/3/82,17,8.5,,24.5,
CR,8/3/82,18,7.4,,17.5,
CR,8/3/82,19,6.6,,12,
CR,8/16/82,0,,,,
CR,8/16/82,1,,,,
CR,8/16/82,2,,,,
CR,8/16/82,3,,,,
CR,8/16/82,4,,,,
CR,8/16/82,5,,,,
CR,8/16/82,6,,,,
CR,8/16/82,7,,,,
CR,8/16/82,8,,,,
CR,8/16/82,9,,,,
CR,8/16/82,10,,,,
CR,8/16/82,11,,,,
CR,8/16/82,12,,,,
CR,8/16/82,13,,,,
CR,8/16/82,14,,,,
CR,8/16/82,15,,,,
CR,8/16/82,16,,,,
CR,8/16/82,17,,,,
CR,8/16/82,18,,,,
CR,8/16/82,19,,,,
CR,9/9/82,0,8,308,232,0.753
CR,9/9/82,1,7.9,295,113,0.383
CR,9/9/82,2,7.9,305,112,0.367
CR,9/9/82,3,8,335,107,0.319
CR,9/9/82,4,8,338,92,0.272
CR,9/9/82,5,8,330,77.3,0.234
CR,9/9/82,6,8,328,65.3,0.199
CR,9/9/82,7,8,410,69,0.168
CR,9/9/82,8,8,395,55.7,0.141
CR,9/9/82,9,8,410,47,0.115
CR,9/9/82,10,8.1,425,41.4,0.097
CR,9/9/82,11,9.8,483,47,0.097
CR,9/9/82,12,9.8,486,28.2,0.058
CR,9/9/82,13,9.6,478,20.7,0.043
CR,9/9/82,14,9.4,482,15.3,0.032
CR,9/9/82,15,9.4,502,11.3,0.023
CR,9/9/82,16,8.7,510,8.7,0.017
CR,9/9/82,17,8.8,495,6,0.012
CR,9/9/82,18,7.2,490,3.9,0.008
CR,9/9/82,19,3.7,489,2.53,0.005
CR,9/9/82,20,2.3,457,1.41,0.003
CR,9/22/82,0,8.5,1190,1040,0.874
CR,9/22/82,1,8.4,1190,700,0.588
CR,9/22/82,2,8.4,1180,580,0.492
CR,9/22/82,3,8.4,1180,430,0.364
CR,9/22/82,4,8.4,1190,350,0.294
CR,9/22/82,5,8.4,1190,295,0.248
CR,9/22/82,6,8.4,1230,220,0.179
CR,9/22/82,7,8.4,1220,185,0.152
CR,9/22/82,8,8.3,1220,140,0.115
CR,9/22/82,9,8.3,1240,120,0.097
CR,9/22/82,10,8.3,1230,95,0.077
CR,9/22/82,11,8.3,1270,78,0.061
CR,9/22/82,12,8.3,1290,63,0.049
CR,9/22/82,13,9,1270,50,0.039
CR,9/22/82,14,7.7,1290,35.5,0.028
CR,9/22/82,15,5,1360,28.4,0.021
CR,9/22/82,16,4.3,1390,18.7,0.013
CR,9/22/82,17,3.5,1270,12.6,0.01
CR,9/22/82,18,3,1260,8.37,0.007
CR,9/22/82,19,4.6,1280,5.2,0.004
CR,10/5/82,0,9.5,1000,800,0.8
CR,10/5/82,1,9.5,1080,570,0.528
CR,10/5/82,2,9.5,1070,440,0.411
CR,10/5/82,3,9.4,1000,335,0.335
CR,10/5/82,4,9.4,990,250,0.253
CR,10/5/82,5,9.4,970,220,0.227
CR,10/5/82,6,9.4,1000,170,0.17
CR,10/5/82,7,9.4,970,125,0.129
CR,10/5/82,8,9.4,980,116,0.118
CR,10/5/82,9,9.3,1010,85.2,0.084
CR,10/5/82,10,9.3,1020,77.3,0.076
CR,10/5/82,11,9.3,1130,63.4,0.056
CR,10/5/82,12,9.2,1170,51,0.044
CR,10/5/82,13,8.6,1160,42,0.036
CR,10/5/82,14,7.2,1130,31,0.027
CR,10/5/82,15,5.2,1120,22.9,0.02
CR,10/5/82,16,3.7,1110,17.4,0.016
CR,10/5/82,17,2.3,1100,11.8,0.011
CR,10/5/82,18,1,1080,6.3,0.006
CR,10/5/82,19,0.8,1030,3.33,0.003
CR,10/21/82,0,9.2,210,143,0.681
CR,10/21/82,1,9.1,204,63.5,0.311
CR,10/21/82,2,9.1,203,55,0.271
CR,10/21/82,3,9.1,202,45.7,0.226
CR,10/21/82,4,9.1,201,36.2,0.18
CR,10/21/82,5,9,199,29,0.146
CR,10/21/82,6,9,198,22.5,0.114
CR,10/21/82,7,9,198,17.3,0.087
CR,10/21/82,8,8.9,198,13.4,0.068
CR,10/21/82,9,8.9,198,10.3,0.052
CR,10/21/82,10,8.9,199,8.12,0.041
CR,10/21/82,11,8.9,198,6.26,0.032
CR,10/21/82,12,8.9,198,4.84,0.024
CR,10/21/82,13,8.9,197,3.76,0.019
CR,10/21/82,14,8.7,197,2.98,0.015
CR,10/21/82,15,8.6,196,2.2,0.011
CR,10/21/82,16,8.4,196,1.7,0.009
CR,10/21/82,17,8.5,194,1.33,0.007
CR,10/21/82,18,7.8,196,0.99,0.005
CR,10/21/82,19,6.5,194,0.72,0.004
CR,11/11/82,0,10.8,103,81,0.786
CR,11/11/82,1,10.9,108,37,0.343
CR,11/11/82,2,10.8,108,29.1,0.269
CR,11/11/82,3,10.8,104,25.5,0.245
CR,11/11/82,4,10.8,103,20.4,0.198
CR,11/11/82,5,10.8,100,16.3,0.163
CR,11/11/82,6,10.7,100,12.9,0.129
CR,11/11/82,7,10.7,103,10.2,0.099
CR,11/11/82,8,10.6,104,8.3,0.08
CR,11/11/82,9,10.6,108,6.58,0.061
CR,11/11/82,10,10.6,108,5.26,0.049
CR,11/11/82,11,10.6,107,4.04,0.038
CR,11/11/82,12,10.6,104,3.13,0.03
CR,11/11/82,13,10.6,104,2.42,0.023
CR,11/11/82,14,10.5,104,1.99,0.019
CR,11/11/82,15,10.5,107,1.57,0.015
CR,11/11/82,16,10.5,112,1.28,0.011
CR,11/11/82,17,10.5,120,1.01,0.008
CR,11/11/82,18,10.5,121,0.82,0.007
CR,11/11/82,19,10.4,117,0.62,0.005
CR,12/3/82,0,11.8,650,550,0.846
CR,12/3/82,1,11.7,695,350,0.504
CR,12/3/82,2,11.7,685,240,0.35
CR,12/3/82,3,11.6,680,220,0.324
CR,12/3/82,4,11.6,665,160,0.241
CR,12/3/82,5,11.6,660,105,0.159
CR,12/3/82,6,11.6,680,94,0.138
CR,12/3/82,7,11.5,620,68,0.11
CR,12/3/82,8,11.5,670,52,0.078
CR,12/3/82,9,11.5,680,42,0.062
CR,12/3/82,10,11.4,660,34,0.052
CR,12/3/82,11,11.4,630,25.8,0.041
CR,12/3/82,12,11.4,640,22,0.034
CR,12/3/82,13,11.4,650,16.2,0.025
CR,12/3/82,14,11.4,660,13.2,0.02
CR,12/3/82,15,11.4,670,11.2,0.017
CR,12/3/82,16,11.4,660,8.8,0.013
CR,12/3/82,17,11.3,670,7.5,0.011
CR,12/3/82,18,11.3,640,5.8,0.009
CR,12/3/82,19,11.3,650,4.8,0.007
CR,1/14/83,0,14.3,,,
CR,1/14/83,1,12.4,,,
CR,1/14/83,2,12,,,
CR,1/14/83,3,11.9,,,
CR,1/14/83,4,11.8,,,
CR,1/14/83,5,11.7,,,
CR,1/14/83,6,11.7,,,
CR,1/14/83,7,11.7,,,
CR,1/14/83,8,11.7,,,
CR,1/14/83,9,11.6,,,
CR,1/14/83,10,11.5,,,
CR,1/14/83,10,,,,
CR,1/14/83,11,11.3,,,
CR,1/14/83,12,11.1,,,
CR,1/14/83,13,10.9,,,
CR,1/14/83,14,10.9,,,
CR,1/14/83,15,10.9,,,
CR,1/14/83,16,10.3,,,
CR,1/14/83,17,8.6,,,
CR,1/14/83,18,8.2,,,
CR,1/14/83,19,6.2,,,
CR,2/21/83,0,13.4,,,
CR,2/21/83,1,11.7,,,
CR,2/21/83,2,11.4,,,
CR,2/21/83,3,11.4,,,
CR,2/21/83,4,11.3,,,
CR,2/21/83,5,11.1,,,
CR,2/21/83,6,11.2,,,
CR,2/21/83,7,10.9,,,
CR,2/21/83,8,10.9,,,
CR,2/21/83,9,10.6,,,
CR,2/21/83,10,10.6,,,
CR,2/21/83,11,10,,,
CR,2/21/83,12,9.9,,,
CR,2/21/83,12,,,,
CR,2/21/83,13,9.6,,,
CR,2/21/83,14,9.4,,,
CR,2/21/83,15,9.1,,,
CR,2/21/83,16,8.2,,,
CR,2/21/83,17,5.9,,,
CR,2/21/83,18,5.4,,,
CR,2/21/83,19,4.7,,,
CR,2/21/83,20,3.9,,,
CR,3/30/83,0,14.6,,,
CR,3/30/83,1,12.2,,,
CR,3/30/83,2,12,,,
CR,3/30/83,3,11.8,,,
CR,3/30/83,4,11.8,,,
CR,3/30/83,5,11.8,,,
CR,3/30/83,6,11.7,,,
CR,3/30/83,7,11.4,,,
CR,3/30/83,8,11.3,,,
CR,3/30/83,9,11.2,,,
CR,3/30/83,10,11,,,
CR,3/30/83,11,10.4,,,
CR,3/30/83,12,9.8,,,
CR,3/30/83,13,8.6,,,
CR,3/30/83,14,9,,,
CR,3/30/83,15,7.9,,,
CR,3/30/83,16,7.1,,,
CR,3/30/83,17,4.8,,,
CR,3/30/83,18,3.6,,,
CR,3/30/83,19,2.8,,,
CR,3/30/83,19,,,,
CR,5/12/83,0,11.5,472,370,0.784
CR,5/12/83,1,11.5,500,280,0.56
CR,5/12/83,2,11.6,510,260,0.51
CR,5/12/83,3,11.8,560,233,0.416
CR,5/12/83,4,11.8,560,198,0.354
CR,5/12/83,5,11.9,570,168,0.295
CR,5/12/83,6,12,572,140,0.245
CR,5/12/83,7,12,575,118,0.205
