lakeid,sampledate,depth,chlor,phaeo
CB,8/11/86,2,8.5,2.7
CB,8/27/86,0,20.9,1.6
CB,8/27/86,1,14.1,2.8
CB,8/27/86,2,4.1,2.3
CB,8/27/86,2,3.7,2.4
CB,9/9/86,0,7.9,1.8
CB,9/9/86,1,29.7,2.2
CB,9/9/86,1,27.8,3.4
CB,9/9/86,2,4.9,1.7
CB,9/23/86,0,22.1,4.1
CB,9/23/86,1,6.4,3.1
CB,9/23/86,1,7.3,3.8
CB,9/23/86,2,1.6,2.7
CB,10/8/86,0,11.7,2.9
CB,10/8/86,1,6.6,2.8
CB,10/8/86,1,7.9,2.5
CB,10/8/86,2,2.7,2.6
CB,10/20/86,0,2.5,2.2
CB,10/20/86,1,4.7,3.1
CB,10/20/86,1,5.4,2
CB,10/20/86,2,2.5,2.4
CB,11/5/86,0,9.2,4.5
CB,11/5/86,1,9.8,3.6
CB,11/5/86,2,9.6,4.3
CB,11/5/86,2,9.2,3.6
CB,1/20/87,0,31,7.6
CB,1/20/87,1,4.1,5.6
CB,1/20/87,1,3.7,5.9
CB,1/20/87,2,3.7,5.9
CB,2/23/87,0,110.2,15.3
CB,2/23/87,1,5,7.5
CB,2/23/87,1,5.8,6.3
CB,2/23/87,2,3.8,7
CB,3/19/87,0,7.5,3.6
CB,3/19/87,0,8.9,2.6
CB,3/19/87,1,11.5,8
CB,3/19/87,2,5.4,16.9
CB,4/13/87,0,3.7,0.8
CB,4/13/87,0,3.6,0.8
CB,4/13/87,1,17,2.8
CB,4/13/87,2,17,8
CB,4/30/87,0,8.6,1.8
CB,4/30/87,1,11.1,2.9
CB,4/30/87,2,21.7,12.7
CB,4/30/87,2,24.5,14.5
CB,5/19/87,0,9.1,3.3
CB,5/19/87,0,17,10.1
CB,5/19/87,1,8.8,2.6
CB,5/19/87,2,8.3,3.5
CB,6/3/87,0,2.9,0.5
CB,6/3/87,1,3.4,0.6
CB,6/3/87,2,5.5,3.4
CB,6/3/87,2,7,2.1
CB,6/23/87,0,3,0.7
CB,6/23/87,0,3.2,0.6
CB,6/23/87,1,11.5,1.9
CB,6/23/87,2,12.3,3.7
CB,7/1/87,0,4.9,0.3
CB,7/1/87,1,5.5,1.3
CB,7/1/87,1,7.2,1
CB,7/1/87,2,19,2.6
CB,7/14/87,0,5.7,0.2
CB,7/14/87,0,6.6,0.5
CB,7/14/87,1,6.1,1.1
CB,7/14/87,2,9.7,1.9
CB,7/27/87,0,4.3,-0.2
CB,7/27/87,1,7.7,-0.8
CB,7/27/87,1,5.9,0.9
CB,7/27/87,2,12.5,1.6
CB,8/13/87,0,27,0
CB,8/13/87,0,27,2.2
CB,8/13/87,1,25.7,-0.1
CB,8/13/87,2,66.2,22.4
CB,8/25/87,0,28.9,5.4
CB,8/25/87,1,11,2.9
CB,8/25/87,1,11.3,3.6
CB,8/25/87,2,9.6,4.4
CB,9/10/87,0,5.7,1.5
CB,9/10/87,0,5,1.9
CB,9/10/87,1,10.8,2.2
CB,9/10/87,2,14.1,3.8
CB,9/23/87,0,5.8,3.3
CB,9/23/87,1,13.3,3.7
CB,9/23/87,1,12.1,4.3
CB,9/23/87,2,4.9,3.6
CB,10/7/87,0,9,2.6
CB,10/7/87,1,8.2,2.9
CB,10/7/87,2,5.7,3.2
CB,10/7/87,2,5.9,2.5
CB,10/20/87,0,11.2,2.4
CB,10/20/87,1,10.9,3.1
CB,10/20/87,2,9.5,3.2
CB,10/29/87,0,9.5,2.4
CB,10/29/87,0,9.3,3
