lakeid,sampledate,depth,chlor,phaeo
TB,8/1/84,5,4.6,3.3
TB,8/1/84,6,5.1,2.1
TB,8/1/84,7,2.4,6.5
TB,8/15/84,0,1.4,0.8
TB,8/15/84,1,28.2,1.6
TB,8/15/84,2,37.8,1.3
TB,8/15/84,3,6.5,20.4
TB,8/15/84,3,5.9,22.4
TB,8/15/84,4,3.8,16.9
TB,8/15/84,5,3.9,7.5
TB,8/15/84,6,2.5,4.1
TB,8/15/84,7,1.6,5.2
TB,9/6/84,0,29.4,3.5
TB,9/6/84,1,6.4,1.2
TB,9/6/84,2,15.5,3.7
TB,9/6/84,3,14.9,52.4
TB,9/6/84,4,4.4,34.8
TB,9/6/84,5,2.5,14.2
TB,9/6/84,6,3.1,6.3
TB,9/6/84,7,2.2,8.5
TB,9/27/84,0,46,14
TB,9/27/84,1,22.7,5.5
TB,9/27/84,2,15.9,5.8
TB,9/27/84,3,38,34.6
TB,9/27/84,4,18.9,55.1
TB,9/27/84,4,20.7,56
TB,9/27/84,5,5.2,20.1
TB,9/27/84,7,8.7,8.9
TB,10/17/84,0,10.7,1.8
TB,10/17/84,1,5.4,1.3
TB,10/17/84,2,4.3,1.3
TB,10/17/84,3,2.1,3.6
TB,10/17/84,4,38.6,35.7
TB,10/17/84,4,0,80.9
TB,10/17/84,5,11.5,11.6
TB,10/17/84,7,4.2,12.4
TB,11/8/84,0,8,2.3
TB,11/8/84,2,4.4,2.1
TB,11/8/84,3,3.7,2.7
TB,11/8/84,5,3.3,2.4
TB,11/8/84,5,3,2.6
TB,11/8/84,7,2.6,3
TB,1/15/85,0,160.9,-3.7
TB,1/15/85,0,174,5.2
TB,1/15/85,1,17.7,4.7
TB,1/15/85,2,3.1,1.5
TB,1/15/85,3,2.9,2.2
TB,1/15/85,5,6.4,2.2
TB,1/15/85,7,5.8,3.5
TB,2/27/85,0,5.6,-0.5
TB,2/27/85,2,1.3,2.9
TB,2/27/85,3,2.8,2.3
TB,2/27/85,5,1.8,2.9
TB,2/27/85,5,2,2.4
TB,2/27/85,7,1.6,3.6
TB,3/25/85,0,38.7,12.3
TB,3/25/85,0,45.5,5.3
TB,3/25/85,2,13.8,4.3
TB,3/25/85,3,17.4,2
TB,3/25/85,5,1.6,3.1
TB,3/25/85,7,2.1,4.1
TB,4/10/85,0,36,7.7
TB,4/10/85,1,49.4,4.7
TB,4/10/85,2,5.4,6.7
TB,4/10/85,5,2,3.8
TB,4/10/85,7,1.8,4.6
TB,4/29/85,0,5.5,1.7
TB,4/29/85,0,4.7,0.8
TB,4/29/85,2,8.7,1.6
TB,4/29/85,3,5.4,2
TB,4/29/85,5,4.7,2.5
TB,4/29/85,7,3.1,3.3
TB,5/13/85,0,2.8,-1
TB,5/13/85,2,17.2,0.7
TB,5/13/85,3,8.6,1.2
TB,5/13/85,5,6.5,1.3
TB,5/13/85,7,3.8,3.1
TB,5/13/85,7,3.9,3.2
TB,5/31/85,0,18.3,-5
TB,5/31/85,2,134.7,-15.2
TB,5/31/85,3,11.7,1.6
TB,5/31/85,5,3,1.9
TB,5/31/85,5,3.5,1.6
TB,5/31/85,7,2.9,4.2
TB,6/12/85,0,8.7,0
TB,6/12/85,1,18,-1.5
TB,6/12/85,2,85.6,-4.3
TB,6/12/85,2,64.8,-5.6
TB,6/12/85,3,18.8,1.5
TB,6/12/85,5,5.8,2.9
TB,6/12/85,7,2.4,4.2
TB,6/27/85,0,4.7,0.2
TB,6/27/85,2,134.5,18.5
TB,6/27/85,3,21,-1.2
TB,6/27/85,3,15.5,3.4
TB,6/27/85,5,10.2,6.7
TB,6/27/85,7,8.1,5.5
TB,7/11/85,0,7.1,0.3
TB,7/11/85,1,17.2,1.2
TB,7/11/85,2,74.1,0.3
TB,7/11/85,3,20.7,9.2
TB,7/11/85,5,11.2,4.9
TB,7/11/85,7,9.1,4.2
TB,7/11/85,7,7.7,5.4
TB,7/24/85,0,15.9,-4.6
TB,7/24/85,2,23.1,2.4
TB,7/24/85,3,37.6,13.1
TB,7/24/85,5,8.5,4.5
TB,7/24/85,7,5.1,4.8
TB,7/24/85,7,4.2,5.7
TB,8/6/85,0,5.5,0
TB,8/6/85,1,12.7,-1.4
TB,8/6/85,2,18,2.7
TB,8/6/85,3,59.7,29.6
TB,8/6/85,5,15.3,5.5
TB,8/6/85,7,7.6,6.5
TB,8/6/85,7,3.8,9.7
TB,8/21/85,0,12.4,3.6
TB,8/21/85,2,8.4,1.2
TB,8/21/85,3,78.6,18.6
TB,8/21/85,5,27.9,6.6
TB,8/21/85,7,10.2,5.6
TB,8/21/85,7,11.9,7.3
TB,9/9/85,0,16.3,-2.6
TB,9/9/85,2,11.5,2.4
TB,9/9/85,3,80.2,12
TB,9/9/85,3,82.4,10.8
TB,9/9/85,5,41.9,3.9
TB,9/9/85,7,23.4,4
TB,10/1/85,0,13.4,3.2
TB,10/1/85,2,12.8,2.6
TB,10/1/85,3,13.2,2
TB,10/1/85,5,49.6,11.4
TB,10/1/85,5,46.4,14.5
TB,10/1/85,7,19.2,8.8
TB,10/23/85,0,4.2,0.4
TB,10/23/85,2,4.3,0.6
TB,10/23/85,3,4.7,1.2
TB,10/23/85,5,57.1,7.9
TB,10/23/85,7,19.2,8.5
TB,10/23/85,7,15,12.4
TB,11/12/85,0,13.3,0.1
TB,11/12/85,2,8.2,1
TB,11/12/85,3,8.6,0.6
TB,11/12/85,3,8,0.9
TB,11/12/85,5,5.5,1.2
TB,11/12/85,7,5.8,1.4
TB,1/10/86,2,4.8,1.1
TB,1/10/86,3,3.4,1.4
TB,1/10/86,5,2.8,1.6
TB,1/10/86,5,3.3,1.2
TB,1/10/86,7,2.1,3.2
TB,2/25/86,0,7.7,1.5
TB,2/25/86,2,1.5,2
TB,2/25/86,3,0.3,2
TB,2/25/86,5,0.1,2.2
TB,2/25/86,7,0.6,2.2
TB,2/25/86,7,0.4,2.6
TB,3/31/86,0,12,3.4
TB,3/31/86,2,0.4,1.4
TB,3/31/86,3,0.8,0.7
TB,3/31/86,3,0.4,1.7
TB,3/31/86,6,0.4,2.2
TB,3/31/86,7,4.9,-3.8
TB,4/21/86,0,12.3,3.6
TB,4/21/86,2,2.6,3.3
TB,4/21/86,2,3.3,3.3
TB,4/21/86,3,2.5,2.8
TB,4/21/86,5,2.2,2.3
TB,4/21/86,7,0.7,3
TB,5/6/86,0,8.5,2.4
TB,5/6/86,0,7.4,2.2
TB,5/6/86,2,11.2,4.9
TB,5/6/86,3,3,2.4
TB,5/6/86,5,6.7,-5.6
TB,5/6/86,7,1.5,3.8
TB,5/21/86,0,2.8,0.8
TB,5/21/86,2,10.5,4
TB,5/21/86,3,2.3,2.7
TB,5/21/86,3,2.7,2.5
TB,5/21/86,5,1.3,2.5
TB,5/21/86,7,1.1,3.4
TB,6/3/86,0,2.7,1
TB,6/3/86,2,64,17.5
TB,6/3/86,3,3,3.4
TB,6/3/86,5,1.6,2.7
TB,6/3/86,7,0.8,3.8
TB,6/3/86,7,1.2,4.2
TB,6/16/86,0,12.1,1.1
TB,6/16/86,2,16,11.3
TB,6/16/86,3,6.8,8.4
TB,6/16/86,5,2.8,4.6
TB,6/16/86,5,2.6,4.2
TB,6/16/86,7,1.9,5.8
TB,7/1/86,0,2.6,0.5
TB,7/1/86,2,17.2,14.6
TB,7/1/86,3,4.8,9.5
TB,7/1/86,5,2,6.4
TB,7/1/86,5,2.7,7.2
TB,7/1/86,7,1.9,6
TB,7/15/86,0,58.3,8.2
TB,7/15/86,2,11.2,4.8
TB,7/15/86,3,6,9.6
TB,7/15/86,5,3.8,8.4
TB,7/15/86,5,4,8.6
TB,7/15/86,7,3.8,4.6
TB,7/29/86,0,1.1,0.6
TB,7/29/86,2,25.1,14.8
TB,7/29/86,3,3.9,13.8
TB,7/29/86,5,2.5,12.8
TB,7/29/86,7,1.3,6.3
TB,7/29/86,7,2.3,5.3
TB,8/13/86,0,2.8,0.5
TB,8/13/86,2,15.9,12
TB,8/13/86,3,6.8,40.4
TB,8/13/86,5,3.4,18.3
TB,8/13/86,5,3.7,17.3
TB,8/13/86,7,1.1,6.7
TB,8/26/86,0,9.2,1.3
TB,8/26/86,2,18.5,17.9
TB,8/26/86,3,12.1,41.4
TB,8/26/86,5,2,19.3
TB,8/26/86,7,0.8,7.3
TB,8/26/86,7,1.8,5.4
TB,9/8/86,0,11.1,1
TB,9/8/86,2,6.8,1.5
TB,9/8/86,3,20.6,54.7
TB,9/8/86,5,3.8,21
TB,9/8/86,7,2,8.8
TB,9/25/86,0,33.3,0.3
TB,9/25/86,2,1.4,1.3
TB,9/25/86,3,19,56.6
TB,9/25/86,5,1.3,24.4
TB,9/25/86,7,2.2,8.4
TB,9/25/86,7,2.5,7.6
TB,10/6/86,0,9.9,3.6
TB,10/6/86,0,10.9,4.2
TB,10/6/86,2,7.1,2.4
TB,10/6/86,3,11.5,21.6
TB,10/6/86,5,1.7,22.7
TB,10/6/86,7,2.4,10.5
TB,10/23/86,0,5.2,1
TB,10/23/86,2,1.9,5.9
TB,10/23/86,3,2,6.9
TB,10/23/86,5,3.3,29.9
TB,10/23/86,7,1.9,9.2
TB,10/23/86,7,2.1,8.8
TB,11/4/86,0,1.8,5.3
TB,11/4/86,2,1.4,5.5
TB,11/4/86,2,1.5,5.4
TB,11/4/86,3,1.6,5.7
TB,11/4/86,5,1.4,5.3
TB,11/4/86,7,1.5,9.7
TB,1/15/87,0,2,1.5
TB,1/15/87,2,0.3,1.2
TB,1/15/87,3,0.9,1.7
TB,1/15/87,5,0.6,2.1
TB,1/15/87,7,0.6,4
TB,1/15/87,7,0.5,2.5
TB,2/23/87,0,2.6,2.3
TB,2/23/87,2,0.3,1.3
TB,2/23/87,3,0.5,1.5
TB,2/23/87,5,0.3,1.8
TB,2/23/87,5,0.3,1.8
TB,2/23/87,7,0.4,3.1
TB,3/20/87,0,1.6,4.2
TB,3/20/87,2,1.3,6.5
TB,3/20/87,3,0.1,2.5
TB,3/20/87,3,0.5,3.2
TB,3/20/87,5,0.3,2
TB,3/20/87,6,0.1,2.2
TB,3/20/87,7,0.2,2.1
TB,4/13/87,0,11.7,3.7
TB,4/13/87,2,0.6,3.4
TB,4/13/87,3,0.5,3.4
TB,4/13/87,3,0.4,3.3
TB,4/13/87,5,0.4,3.3
TB,4/13/87,7,0.6,5.2
TB,4/30/87,0,5.1,1.4
TB,4/30/87,2,3.9,4
TB,4/30/87,2,5.9,3.9
TB,4/30/87,3,0.2,5.7
TB,4/30/87,5,1.8,3.9
TB,4/30/87,7,1.4,4.1
TB,5/18/87,0,4.5,1
TB,5/18/87,2,58.9,5.4
TB,5/18/87,2,54.2,10.2
TB,5/18/87,3,3.4,6.2
TB,5/18/87,5,1.5,5.1
TB,5/18/87,7,1.8,4.6
TB,6/3/87,0,0.8,9.3
TB,6/3/87,2,135.5,26.8
TB,6/3/87,2,139.5,18.7
TB,6/3/87,3,31.9,12
TB,6/3/87,5,3.6,7.5
TB,6/3/87,7,2,6.3
TB,6/22/87,0,1.1,0.2
TB,6/22/87,2,93.5,173.7
TB,6/22/87,3,9.3,26.2
TB,6/22/87,3,6.8,25.3
TB,6/22/87,5,3,9.2
TB,6/22/87,7,2.3,6.2
TB,7/1/87,0,16.3,0.2
TB,7/1/87,2,206.3,23.9
